Word,Meaning,Frequency,diff_level
guarded,cautious and reserved,320.62,1
distract,draw someone's attention away from something,321.78,1
reckless,marked by defiant disregard for danger or consequences,323.8,1
exploit,use or manipulate to one's advantage,324,1
formidable,extremely impressive in strength or excellence,331.69,1
fraud,intentional deception resulting in injury to another person,332.18,1
forge,create by hammering,334.37,1
linen,a fabric woven with fibers from the flax plant,337.85,1
avert,turn away or aside,338.63,1
confound,be confusing or perplexing to,345.39,1
charter,a document creating an institution and specifying its rights,348.36,1
intrigue,a crafty and involved plot to achieve your ends,353.08,1
defer,yield to another's wish or opinion,356.24,1
diligent,quietly and steadily persevering in detail or exactness,359.13,1
brood,"hang over, as of something threatening, dark, or menacing",359.24,1
traitor,a person who says one thing and does another,359.61,1
dazzle,"cause to lose clear vision, especially from intense light",363.08,1
brisk,quick and energetic,365.27,1
cower,crouch or curl up,367.76,1
breach,"an opening, especially a gap in a dike or fortification",376.11,1
latitude,an imaginary line around the Earth parallel to the equator,382.4,1
denounce,speak out against,386.65,1
attentive,taking heed,390.86,1
benevolent,showing or motivated by sympathy and understanding,395.65,1
conjecture,believe especially on uncertain or tentative grounds,399.33,1
eloquence,powerful and effective language,404.2,1
stray,wander from a direct course or at random,404.69,1
shrill,having or emitting a high-pitched and sharp tone or tones,406.16,1
falter,"move hesitatingly, as if about to give way",411.56,1
mend,restore by putting together what is torn or broken,416.03,1
shatter,break into many pieces,416.91,1
disdain,lack of respect accompanied by a feeling of intense dislike,426.22,1
remorse,"a feeling of deep regret, usually for some misdeed",427.86,1
dissent,a difference of opinion,428.68,1
loom,a textile machine for weaving yarn into a textile,428.96,1
enlist,join the military,431.94,1
rash,imprudently incurring risk,435.74,1
propriety,correct behavior,440.15,1
plea,a humble request for help from someone in authority,441.89,1
crave,have an appetite or great desire for,442.23,1
concession,the act of yielding,443.22,1
perch,an elevated place serving as a seat,443.77,1
grumble,make complaining remarks or noises under one's breath,450.73,1
fathom,a linear unit of measurement for water depth,450.92,1
proclamation,a formal public statement,458.51,1
defiance,a hostile challenge,458.9,1
levy,impose and collect,459.4,1
assess,"estimate the nature, quality, ability or significance of",460.86,1
mirth,great merriment,467.15,1
fret,be agitated or irritated,470.9,1
prodigy,an unusually gifted or intelligent person,474.57,1
ascribe,attribute or credit to,474.76,1
vicious,having the nature of evildoing,476.97,1
venerable,profoundly honored,480.14,1
precipice,a very steep cliff,481.36,1
confidential,given in secret,487.69,1
blunder,an embarrassing mistake,492.06,1
cavern,a large cave or a large chamber in a cave,494.31,1
waver,pause or hold back in uncertainty or unwillingness,500.84,1
precipitate,bring about abruptly,506.9,1
slack,not tense or taut,510.98,1
limp,walk impeded by some physical injury,518.55,1
lavish,very generous,520.74,1
censure,harsh criticism or disapproval,525.25,1
discreet,marked by prudence or modesty and wise self-restraint,530.94,1
trample,tread or stomp heavily or roughly,531.58,1
condescend,behave in a patronizing manner,536.56,1
withhold,hold back; refuse to hand over or share,541.26,1
valiant,having or showing heroism or courage,543.99,1
corporal,affecting the body as opposed to the mind or spirit,546,1
gorge,"a deep ravine, usually with a river running through it",548.11,1
premise,a statement that is held to be true,548.95,1
gravel,rock fragments and pebbles,549.03,1
subside,wear off or die down,551.97,1
adverse,in an opposing direction,552.27,1
caprice,a sudden desire,552.3,1
clumsy,lacking grace in movement or posture,556.21,1
insensible,barely able to be perceived,557.44,1
uphold,"stand up for; stick up for; of causes, principles, or ideals",563.21,1
pertinent,being of striking appropriateness,565.95,1
fervent,characterized by intense emotion,570.58,1
aspiration,a cherished desire,577.86,1
indict,accuse formally of a crime,581.6,1
austere,of a stern or strict bearing or demeanor,583.49,1
invoke,request earnestly; ask for aid or protection,589.23,1
ghastly,shockingly repellent; inspiring horror,590.23,1
exhort,spur on or encourage especially by cheers and shouts,595.38,1
lumber,the wood of trees prepared for use as building material,602.31,1
wary,marked by keen caution and watchful prudence,603.41,1
treacherous,dangerously unstable and unpredictable,603.78,1
conjure,summon into action or bring into existence,604.12,1
affliction,a cause of great suffering and distress,605.82,1
endorse,approve of,611.5,1
judicious,marked by the exercise of common sense in practical matters,616.69,1
detached,no longer connected or joined,618,1
placid,calm and free from disturbance,623.66,1
ominous,threatening or foreshadowing evil or tragic developments,624.02,1
spine,the series of vertebrae forming the backbone,627.09,1
contingent,determined by conditions or circumstances that follow,629.42,1
impudent,improperly forward or bold,630.69,1
concur,happen simultaneously,633.05,1
impetuous,characterized by undue haste and lack of thought,633.22,1
articulate,express or state clearly,638.26,1
ordinance,an authoritative rule,642.34,1
annex,attach to,642.52,1
pervade,spread or diffuse through,643.46,1
impede,be a hindrance or obstacle to,644.79,1
censor,a person authorized to suppress unacceptable material,647.54,1
presumption,a premise that is taken for granted,650.66,1
foster,providing nurture though not related by blood or legal ties,651.31,1
prodigious,"great in size, force, extent, or degree",652.09,1
admonish,scold or reprimand; take to task,652.7,1
acquiesce,agree or express agreement,656.06,1
complacent,contented to a fault with oneself or one's actions,656.28,1
steadfast,marked by firm determination or resolution; not shakable,657.34,1
usurp,seize and take control without authority,658.69,1
oblivion,the state of being disregarded or forgotten,666.43,1
allegiance,the act of binding yourself to a course of action,667.14,1
pan,shallow container made of metal,669.97,1
atone,turn away from sin or do penitence,671.33,1
smother,deprive of oxygen and prevent from breathing,680.62,1
susceptible,yielding readily to or capable of,684.75,1
vulnerable,capable of being wounded or hurt,685.27,1
shun,avoid and stay away from deliberately,687.41,1
odium,hate coupled with disgust,688.53,1
deference,courteous regard for people's feelings,698.55,1
intricate,having many complexly arranged elements; elaborate,709.38,1
meddle,intrude in other people's affairs or business,710.49,1
approbation,official acceptance or agreement,715.29,1
vindicate,show to be right by providing justification or proof,719.37,1
posture,the arrangement of the body and its limbs,719.59,1
uproar,a state of commotion and noise and confusion,719.63,1
luminous,softly bright or radiant,721.03,1
sinister,"wicked, evil, or dishonorable",721.6,1
explicit,precisely and clearly expressed or readily observable,723.89,1
temperate,not extreme,725.18,1
rigor,excessive sternness,726.69,1
insinuate,suggest in an indirect or covert way; give to understand,733.16,1
feign,make believe with the intent to deceive,739.2,1
flirt,"talk or behave amorously, without serious intentions",745.05,1
truce,a state of peace agreed to between opponents,748.58,1
imperative,requiring attention or action,750.24,1
impair,make worse or less effective,757.48,1
hamper,prevent the progress or free movement of,768.74,1
curb,the act of restraining power or action or limiting excess,769.09,1
frivolous,"not serious in content, attitude, or behavior",783.58,1
deter,turn away from as by fear or persuasion,783.84,1
transgress,"act in disregard of laws, rules, contracts, or promises",795.1,1
augment,enlarge or increase,803.56,1
lull,make calm or still,806.84,1
allegation,a formal accusation against somebody,808.27,1
abyss,a bottomless gulf or pit,814.5,1
composure,steadiness of mind under stress,814.83,1
covet,"wish, long, or crave for",816.01,1
bleak,unpleasantly cold and damp,818.15,1
heretic,a person whose religious beliefs conflict with church dogma,819.63,1
controversial,marked by or capable of causing disagreement,823.5,1
consternation,sudden shock or dismay that causes confusion,824.53,1
metaphysics,the philosophical study of being and knowing,828.28,1
stark,severely simple,836.94,1
frenzy,state of violent mental agitation,840.02,1
odious,extremely repulsive or unpleasant,840.68,1
din,"a loud, harsh, or strident noise",842.53,1
evoke,"call forth, as an emotion, feeling, or response",843.85,1
prone,having a tendency,844.39,1
imperious,having or showing arrogant superiority,857.78,1
overhaul,"make repairs, renovations, revisions or adjustments to",858.65,1
apparition,a ghostly appearing figure,864.1,1
lucid,transparently clear; easily understandable,867.39,1
coherent,marked by an orderly and consistent relation of parts,868.41,1
stipulate,make an express demand or provision in an agreement,868.79,2
drought,a shortage of rainfall,879.04,2
martial,suggesting war or military life,879.82,2
wile,the use of tricks to deceive someone,883.5,2
recourse,act of turning to for assistance,889.6,2
ludicrous,inviting ridicule,910.39,2
infuse,"fill, as with a certain quality",913.62,2
conceit,the trait of being unduly vain,915.45,2
dubious,fraught with uncertainty or doubt,922.8,2
feud,a bitter quarrel between two parties,926.77,2
dangle,hang freely,938.52,2
skeptical,marked by or given to doubt,938.74,2
decorum,propriety in manners and conduct,944.36,2
tangible,"perceptible by the senses, especially the sense of touch",945.03,2
cant,a slope in the turn of a road or track,952.64,2
covert,secret or hidden,963.56,2
avarice,reprehensible acquisitiveness; insatiable desire for wealth,965.84,2
jeer,laugh at with contempt and derision,966,2
devoid,completely wanting or lacking,972.5,2
mitigate,lessen or to try to lessen the seriousness or extent of,975.63,2
wardrobe,a piece of furniture that provides storage space for clothes,976.92,2
arbitrate,act between parties with a view to reconciling differences,1000.35,2
deft,skillful in physical movements; especially of the hands,1008.53,2
consign,give over to another for care or safekeeping,1010.16,2
dispel,cause to separate and go in different directions,1012.41,2
disinterested,unaffected by concern for one's own welfare,1012.75,2
epithet,descriptive word or phrase,1013.71,2
supplicate,"ask for humbly or earnestly, as in prayer",1016.4,2
deluge,a heavy rain,1018.94,2
plaintive,expressing sorrow,1021.31,2
tapestry,a wall hanging of heavy fabric with pictorial designs,1023.79,2
furtive,secret and sly,1024.67,2
obliterate,remove completely from recognition or memory,1027.87,2
bog,wet spongy ground of decomposing vegetation,1032.62,2
vigilance,the process of paying close and continuous attention,1037.51,2
veritable,not counterfeit or copied,1037.87,2
dwindle,become smaller or lose substance,1038.69,2
succumb,"give in, as to overwhelming force, influence, or pressure",1048.35,2
prerogative,a right reserved exclusively by a person or group,1055.64,2
sordid,foul and run-down and repulsive,1060.55,2
wan,"pale, as of a person's complexion",1061.12,2
fawn,a young deer,1071.59,2
perpetuate,cause to continue or prevail,1073.34,2
drone,make a monotonous low dull sound,1075.48,2
ambiguous,having more than one possible meaning,1082.56,2
parasite,an animal or plant that lives in or on a host,1084.64,2
tout,advertise in strongly positive terms,1089.53,2
commentator,an expert who observes and remarks on something,1095.58,2
oblique,slanting or inclined in direction or course or position,1110.69,2
encroach,advance beyond the usual limit,1111,2
ascetic,someone who practices self denial as a spiritual discipline,1113.62,2
prodigal,recklessly wasteful,1115.08,2
ensign,a person who holds a commissioned rank in the U.S. Navy,1119.51,2
recompense,make payment to,1123.65,2
improvise,manage in a makeshift way; do with whatever is at hand,1124.19,2
enigma,something that baffles understanding and cannot be explained,1126.43,2
flinch,"draw back, as with fear or pain",1128.37,2
placate,cause to be more favorably inclined,1133.44,2
intact,undamaged in any way,1134.09,2
whimsical,determined by chance or impulse rather than by necessity,1140.21,2
pestilence,any epidemic disease with a high death rate,1143.07,2
dedication,complete and wholehearted fidelity,1148.17,2
drawl,a slow speech pattern with prolonged vowels,1149.17,2
overture,orchestral music at the beginning of an opera or musical,1150.29,2
gird,bind with something round or circular,1153.77,2
inquisitive,given to questioning,1153.77,2
precarious,not secure; beset with difficulties,1156.7,2
peremptory,putting an end to all debate or action,1166.38,2
ponderous,having great mass and weight and unwieldiness,1169.49,2
efface,remove by or as if by rubbing or erasing,1189.95,2
invert,turn inside out or upside down,1191.38,2
captor,a person who entraps and holds someone else,1206.81,2
incongruous,lacking in harmony or compatibility or appropriateness,1209.27,2
arable,capable of being farmed productively,1210.63,2
fallacy,a misconception resulting from incorrect reasoning,1211.25,2
vogue,a current state of general acceptance and use,1212.62,2
mercenary,a person hired to fight for another country than their own,1213.86,2
coerce,cause to do through pressure or necessity,1217.23,2
discomfit,cause to lose one's composure,1223.52,2
obtrude,push to thrust outward,1230.26,2
lizard,relatively long-bodied reptile with legs and a tapering tail,1242.13,2
audacious,disposed to venture or take risks,1243.31,2
arduous,characterized by effort to the point of exhaustion,1245.79,2
profuse,produced or growing in extreme abundance,1245.92,2
reciprocal,concerning each of two or more persons or things,1250.4,2
tremor,"an involuntary vibration, as if from illness or fear",1250.66,2
stint,supply sparingly and with restricted quantities,1251.19,2
provocation,a means of arousing or stirring to action,1258.11,2
embellish,"make more attractive, as by adding ornament or color",1259.18,2
affable,diffusing warmth and friendliness,1259.98,2
tentative,hesitant or lacking confidence; unsettled in mind or opinion,1267.67,2
stifled,held in check with difficulty,1276.56,2
pillage,steal goods; take as spoils,1283.34,2
varnish,"a coating that provides a hard, lustrous finish to a surface",1301.83,2
vehemence,intensity or forcefulness of expression,1301.83,2
obsolete,no longer in use,1314.26,2
ingenuous,lacking in sophistication or worldliness,1314.69,2
corroborate,give evidence for,1334.41,2
lucrative,producing a sizeable profit,1338.78,2
vindictive,disposed to seek revenge or intended for revenge,1342.12,2
bolster,support and strengthen,1343.19,2
gaudy,tastelessly showy,1343.95,2
prune,"cultivate, tend, and cut back the growth of",1344.87,2
ostensible,appearing as such but not necessarily so,1349.62,2
omnipotent,having unlimited power,1353.17,2
protracted,relatively long in duration,1357.98,2
stigma,a symbol of disgrace or infamy,1360.48,2
pedant,a person who is preoccupied with rules and learning,1363.14,2
craven,lacking even the rudiments of courage; abjectly fearful,1366.6,2
plumb,exactly vertical,1369.61,2
droll,comical in an odd or whimsical manner,1373.1,2
plod,"walk heavily and firmly, as when weary, or through mud",1373.42,2
reticent,reluctant to draw attention to yourself,1374.54,2
benign,kind in disposition or manner,1374.86,2
affluent,having an abundant supply of money or possessions of value,1375.66,2
propensity,a natural inclination,1375.98,2
topple,"fall down, as if collapsing",1379.35,2
dupe,fool or hoax,1382.41,2
pernicious,exceedingly harmful,1385.81,2
espouse,"choose and follow a theory, idea, policy, etc.",1387.1,2
intrepid,invulnerable to fear or intimidation,1387.92,2
consensus,agreement in the judgment reached by a group as a whole,1391.02,2
jovial,full of or showing high-spirited merriment,1391.67,2
denunciation,a public act of condemnation,1394.95,2
engrossed,giving or marked by complete attention to,1397.59,2
extant,still in existence; not extinct or destroyed or lost,1398.25,2
elicit,"call forth, as an emotion, feeling, or response",1399.24,2
guile,shrewdness as demonstrated by being skilled in deception,1399.9,2
perennial,lasting an indefinitely long time,1411.25,2
tacit,implied by or inferred from actions or statements,1418.35,2
mediocre,moderate to inferior in quality,1424.33,2
jeopardy,a source of danger,1434.34,2
plaintiff,a person who brings an action in a court of law,1441.68,2
fervor,feelings of great warmth and intensity,1446.43,2
blithe,carefree and happy and lighthearted,1450.16,2
docile,easily handled or managed,1452.29,2
indigenous,originating where it is found,1455.68,2
mistrust,regard with suspicion,1456.04,2
exemplify,be characteristic of,1467.96,2
swindle,(offensive) deprive of by deceit,1473.44,2
harangue,a loud bombastic declamation expressed with strong emotion,1483.79,2
eradicate,"destroy completely, as if down to the roots",1489.95,2
sate,fill to contentment,1490.7,2
cessation,a stopping,1491.27,2
practitioner,someone who carries out a learned profession,1497.68,2
illicit,contrary to accepted morality or convention,1499.96,2
obese,excessively large,1501.1,2
impunity,exemption from punishment or loss,1502.06,2
pedestrian,a person who travels by foot,1502.06,2
flounder,"move clumsily or struggle to move, as in mud or water",1508.57,2
malign,speak unfavorably about,1509.72,2
ostentatious,intended to attract notice and impress others,1511.46,2
averse,strongly opposed,1513.19,2
nausea,the state that precedes vomiting,1516.3,2
epistle,"a specially long, formal letter",1524.7,2
alacrity,liveliness and eagerness,1532,2
impediment,something immaterial that interferes with action or progress,1539.17,2
auspicious,indicating favorable circumstances and good luck,1544.19,2
precipitous,extremely steep,1544.6,2
divest,take away possessions from someone,1545.81,2
conscript,enroll into service compulsorily,1547.22,2
espy,catch sight of,1551.28,2
strut,"walk in a proud, confident way",1551.48,2
bizarre,conspicuously or grossly unconventional or unusual,1553.31,2
occult,supernatural forces and events and beings collectively,1553.92,2
inundate,"fill or cover completely, usually with water",1555.56,2
diffident,showing modest reserve,1563.78,2
supplant,take the place or move into the position of,1568.96,2
forgery,criminal falsification by making or altering an instrument,1569.17,2
conflagration,a very intense and uncontrolled fire,1570.84,2
implacable,incapable of being appeased or pacified,1576.7,2
hapless,unfortunate and deserving pity,1580.91,2
deposition,the act of putting something somewhere,1585.36,2
perfidy,an act of deliberate betrayal,1587.48,2
doleful,filled with or evoking sadness,1590.9,2
pique,"call forth, as an emotion, feeling, or response",1591.54,2
squander,spend thoughtlessly; throw away,1592.83,2
elusive,skillful at evading capture,1593.04,2
fickle,liable to sudden unpredictable change,1596.05,2
profligate,unrestrained by convention or morality,1599.72,2
leash,restraint consisting of a rope used to restrain an animal,1606.67,2
encumber,"hold back, impede, or weigh down",1607.32,2
goad,stab or urge on as if with a pointed stick,1610.82,2
petulant,easily irritated or annoyed,1613.24,2
balk,refuse to proceed or comply,1622.08,2
engender,call forth,1631.25,2
expiate,make amends for,1633.95,2
exigent,demanding immediate attention,1652.43,2
banter,light teasing repartee,1652.9,2
delineate,represented accurately or precisely,1657.53,2
moat,ditch dug as a fortification and usually filled with water,1660.55,2
quack,the sound made by a duck,1664.99,2
extol,"praise, glorify, or honor",1676.31,2
fidget,move restlessly,1685.38,2
antipathy,a feeling of intense dislike,1698.93,2
emissary,someone sent to represent another's interests,1708.25,2
pathology,the branch of medical science that studies diseases,1717.92,2
obnoxious,causing disapproval or protest,1730.23,2
garner,assemble or get together,1731.75,2
aptitude,inherent ability,1738.62,2
preclude,"make impossible, especially beforehand",1742.98,2
tarnish,"make or become dirty or dull, as by exposure to air",1751.49,2
foreclosure,proceedings initiated to repossess the collateral for a loan,1756.43,2
grill,a framework of metal bars used as a partition or a grate,1758.78,2
appraise,consider in a comprehensive way,1765.87,2
precedence,status established in order of importance or urgency,1769.3,2
vagrant,a wanderer with no established residence or means of support,1773.01,2
obtrusive,sticking out; protruding,1773.54,2
stockade,fortification consisting of a fence set firmly for defense,1780.75,2
confrontation,discord resulting from a clash of ideas or opinions,1787.47,2
concoct,make something by mixing,1793.16,2
burlesque,a theatrical entertainment of broad and earthy humor,1800.8,2
impassive,having or revealing little emotion or sensibility,1805.75,2
erratic,liable to sudden unpredictable change,1817.12,2
tamp,press down tightly,1825.25,2
reinstate,"bring back into original existence, function, or position",1828.07,2
aver,declare or affirm solemnly and formally as true,1832.6,2
astute,marked by practical hardheaded intelligence,1835.73,2
voluptuous,displaying luxury and furnishing gratification to the senses,1836.3,2
onslaught,an offensive against an enemy,1837.44,2
leaven,a substance used to produce fermentation in dough,1841.73,2
zenith,the highest point of something,1862.31,2
credulity,tendency to believe readily,1875,2
invigorate,give life or energy to,1878.27,2
obsession,an unhealthy and compulsive preoccupation with something,1885.16,2
skiff,a small boat propelled by oars or by sails or by a motor,1888.16,2
philanthropist,someone who makes charitable donations,1888.77,2
veracity,unwillingness to tell lies,1890.88,2
prosaic,lacking wit or imagination,1895.73,2
descry,catch sight of,1898.77,2
imbue,spread or diffuse through,1899.99,2
caustic,capable of destroying or eating away by chemical action,1903.35,2
reverberate,ring or echo with sound,1907.03,2
bask,"expose oneself to warmth and light, as for relaxation",1915.06,2
decorous,characterized by propriety and dignity and good taste,1915.06,2
imbibe,take in liquids,1915.37,2
hallucinate,have illusions; perceive what is not actually there,1916.3,2
ineffable,defying expression or description,1918.47,2
nocturnal,belonging to or active during the night,1920.03,2
demur,politely refuse or take exception to,1921.9,2
presumptuous,"going beyond what is appropriate, permitted, or courteous",1923.46,2
adept,having or showing knowledge and skill and aptitude,1927.85,2
buttress,a support usually of stone or brick,1929.42,2
grudging,petty or reluctant in giving or spending,1935.1,2
pungent,strong and sharp to the sense of taste or smell,1948.81,2
dormant,inactive but capable of becoming active,1952.35,2
magnanimity,nobility and generosity of spirit,1953.96,2
exuberant,joyously unrestrained,1959.14,2
impregnable,incapable of being attacked or tampered with,1960.11,2
somber,serious and gloomy in character,1960.76,2
dislodge,remove or force from a position previously occupied,1965.97,2
avid,marked by active interest and enthusiasm,1989.44,2
shirk,avoid one's assigned duties,1998.52,2
inadvertent,happening by chance or unexpectedly or unintentionally,2010.75,2
propitiate,make peace with,2029.37,2
exemplary,worthy of imitation,2064.07,2
salvage,rescuing a ship or its crew from a shipwreck or a fire,2070.93,2
drab,a dull greyish to yellowish or light olive brown,2072.02,2
annotate,add explanatory notes to or supply with critical comments,2080.4,2
annul,cancel officially,2092.54,2
opaque,not transmitting or reflecting light or radiant energy,2092.91,2
coy,affectedly shy especially in a playful or provocative way,2112.72,2
narcotic,a drug that produces numbness or stupor,2114.23,2
apprise,inform somebody of something,2120.3,2
fanatical,marked by excessive enthusiasm for a cause or idea,2134.45,2
verdant,characterized by abundance of vegetation and green foliage,2144.12,2
disparate,fundamentally different or distinct in quality or kind,2144.9,2
dogmatic,pertaining to a code of beliefs accepted as authoritative,2146.07,2
digress,wander from a direct or straight course,2146.45,2
morose,showing a brooding ill humor,2157.02,2
belie,be in contradiction with,2163.33,2
levee,an embankment built to prevent a river from overflowing,2179.27,2
forestall,keep from happening or arising; make impossible,2194.23,2
rampant,occurring or increasing in an unrestrained way,2211.46,2
flaunt,display proudly,2223.51,2
divulge,make known to the public information previously kept secret,2227.28,3
laudable,worthy of high praise,2227.28,3
lethargy,inactivity; showing an unusual lack of energy,2228.12,3
pith,spongelike central cylinder of the stems of flowering plants,2250.58,3
elucidate,make clear and comprehensible,2255.3,3
nonchalant,marked by casual unconcern or indifference,2269.58,3
convoke,call together,2276.13,3
dissemble,behave unnaturally or affectedly,2283.6,3
invective,abusive language used to express blame or censure,2300.48,3
brittle,having little elasticity,2303.61,3
provocative,serving or tending to excite or stimulate,2316.24,3
epitome,a standard or typical example,2318.51,3
despicable,morally reprehensible,2319.42,3
flimsy,a thin strong lightweight translucent paper,2320.33,3
oscillate,move or swing from side to side regularly,2326.26,3
squalid,foul and run-down and repulsive,2329.93,3
conciliatory,making or willing to make concessions,2336.83,3
felon,someone who has been legally convicted of a crime,2347.5,3
crease,an angular indentation made by folding,2355.44,3
hypocritical,professing feelings or virtues one does not have,2358.73,3
malevolent,wishing or appearing to wish evil to others,2360.14,3
maverick,someone who exhibits independence in thought and action,2366.75,3
florid,elaborately or excessively ornamented,2384.89,3
tenable,based on sound reasoning or evidence,2400.86,3
taciturn,habitually reserved and uncommunicative,2407.21,3
amalgamate,bring or combine together or with something else,2430.46,3
piquant,having an agreeably pungent taste,2432.96,3
taut,pulled or drawn tight,2434.46,3
indelible,"not able to be forgotten, removed, or erased",2442,3
facetious,cleverly amusing in tone,2445.03,3
spurious,plausible but false,2446.54,3
immutable,not subject or susceptible to change or variation,2447.56,3
lustrous,reflecting light,2461.31,3
efficacious,giving the power to produce an intended result,2469.01,3
flippant,showing an inappropriate lack of seriousness,2477.8,3
gloat,dwell on with satisfaction,2484.05,3
disprove,show to be false,2486.14,3
obsequious,attempting to win favor from influential people by flattery,2498.74,3
mosaic,design made of small pieces of colored stone or glass,2523.26,3
distend,cause to expand as if by internal pressure,2543.33,3
glib,artfully persuasive in speech,2543.88,3
clot,a lump of material formed from the content of a liquid,2546.62,3
pucker,gather something into small wrinkles or folds,2548.27,3
laconic,brief and to the point,2553.77,3
insipid,lacking interest or significance or impact,2558.19,3
impromptu,with little or no preparation or forethought,2582.76,3
incursion,the act of entering some territory or domain,2607.24,3
loll,be lazy or idle,2607.82,3
meager,deficient in amount or quality or extent,2624.6,3
tantalize,harass with persistent teasing or baiting,2643.96,3
adulterate,make impure by adding a foreign or inferior substance,2689.04,3
exorbitant,greatly exceeding bounds of reason or moderation,2706.89,3
cajole,"influence or urge by gentle urging, caressing, or flattering",2719.33,3
entrenched,dug in,2724.34,3
unequivocal,admitting of no doubt or misunderstanding,2727.48,3
vacillate,be undecided about something,2770.29,3
conducive,tending to bring about; being partly responsible for,2792.52,3
obviate,do away with,2798.47,3
mettle,the courage to carry on,2804.44,3
ameliorate,make better,2819.82,3
complaisant,showing a cheerful willingness to do favors for others,2819.82,3
opus,a musical work that has been created,2829.26,3
specious,plausible but false,2838.09,3
recluse,one who lives in solitude,2847.65,3
boor,a crude uncouth ill-bred person lacking refinement,2850.4,3
dabble,bob under so as to feed off the bottom of a body of water,2857.29,3
obtuse,"of an angle, between 90 and 180 degrees",2876.05,3
vagary,an unexpected and inexplicable change in something,2887.28,3
incipient,only partly in existence; imperfectly formed,2890.1,3
obdurate,stubbornly persistent in wrongdoing,2891.51,3
grovel,show submission or fear,2912.88,3
refractory,stubbornly resistant to authority or control,2923.68,3
foment,try to stir up,2929.47,3
foment,try to stir up,2929.47,3
assuage,"provide physical relief, as from pain",2941.13,3
adamant,very hard native crystalline carbon valued as a gem,2942.59,3
quarantine,isolation to prevent the spread of infectious disease,2944.79,3
pundit,an expert who publicly gives opinions via mass media,2961.01,3
predilection,a predisposition in favor of something,2974.41,3
perfunctory,hasty and without attention to detail; not thorough,2985.67,3
preamble,"a preliminary introduction, as to a statute or constitution",2990.2,3
officious,intrusive in a meddling or offensive manner,3001.59,3
evict,expel or eject without recourse to legal process,3005.4,3
disparity,inequality or difference in some respect,3012.29,3
